sequence_id,5fold_seed1,5fold_seed2,5fold_seed3,5fold_seed4,5fold_seed5,5fold_seed6,5fold_seed7,5fold_seed8,5fold_seed9,5fold_seed10,5fold_seed2025
SEQ_011710,4,0,0,3,2,4,3,3,4,3,0
SEQ_011712,4,1,1,0,1,2,1,1,1,1,2
SEQ_011717,2,0,0,0,4,0,4,4,0,4,0
SEQ_011728,0,3,2,2,2,3,2,2,3,2,3
SEQ_011736,3,0,0,3,3,4,4,4,4,3,4
SEQ_011739,4,2,0,0,0,1,0,0,0,1,0
SEQ_011749,3,4,4,4,3,4,3,3,4,3,4
SEQ_011772,1,4,2,1,1,1,1,2,2,2,3
SEQ_011781,1,3,3,2,3,2,2,2,3,0,4
SEQ_011786,3,4,4,4,3,3,2,2,3,4,0
SEQ_011789,3,3,3,3,2,3,2,2,3,2,3
SEQ_011799,3,0,0,4,0,1,0,0,0,0,1
SEQ_011803,0,3,2,0,1,0,0,4,2,1,2
SEQ_011807,4,0,0,3,4,4,3,3,4,0,1
SEQ_011821,4,2,2,2,1,2,1,1,2,1,2
SEQ_011825,0,3,3,3,2,3,2,2,3,2,3
SEQ_011826,3,4,4,4,3,4,3,3,4,3,4
SEQ_011832,0,0,0,0,4,0,4,4,0,4,0
SEQ_011838,4,1,1,3,4,3,0,0,0,4,0
SEQ_011844,3,0,0,3,3,4,4,4,4,3,4
SEQ_011854,4,2,0,4,4,4,4,4,4,0,1
SEQ_011867,2,2,2,2,1,2,1,1,2,1,2
SEQ_011868,3,3,3,3,0,3,3,3,3,4,3
SEQ_011869,0,1,1,4,0,0,4,4,0,1,2
SEQ_011894,2,4,3,2,2,2,2,1,3,3,4
SEQ_011900,4,1,1,0,1,2,1,1,1,1,2
SEQ_011911,1,1,1,1,0,1,1,3,1,0,1
SEQ_011914,3,0,0,4,0,4,4,0,0,4,1
SEQ_011945,4,0,0,3,4,4,3,3,4,0,1
SEQ_011957,4,0,4,4,4,0,4,4,4,4,4
SEQ_011973,1,4,4,4,3,4,3,3,4,3,4
SEQ_011975,2,4,4,3,4,4,4,4,4,4,0
SEQ_011984,2,3,4,1,2,2,1,1,2,3,4
SEQ_011998,1,2,2,1,1,1,1,0,1,2,3
SEQ_012019,4,1,1,0,1,2,1,1,1,1,2
SEQ_012022,4,1,1,4,4,0,0,0,0,4,2
SEQ_012033,3,0,0,3,3,4,4,4,4,3,4
SEQ_012037,0,2,2,4,0,4,1,1,1,0,1
SEQ_012048,4,0,0,0,4,0,4,4,0,4,0
SEQ_012058,0,2,2,1,2,1,1,1,2,1,3
SEQ_012075,3,1,1,0,0,1,0,0,1,0,1
SEQ_012077,0,1,1,4,0,0,4,4,0,1,2
SEQ_012079,0,3,2,0,1,0,0,4,2,1,2
SEQ_012084,4,2,0,0,0,1,0,0,0,1,0
SEQ_012088,0,3,2,2,2,3,2,2,3,2,3
SEQ_012094,2,2,2,2,1,2,2,1,2,1,2
SEQ_012102,0,2,2,1,2,1,1,1,2,1,3
SEQ_012112,2,2,2,2,1,2,1,1,2,1,2
SEQ_012121,2,2,2,2,1,2,2,1,2,1,2
SEQ_012141,2,4,4,3,4,4,4,4,4,4,0
SEQ_012150,1,2,2,1,1,1,1,0,1,2,3
SEQ_012153,0,1,1,1,0,1,0,0,1,0,1
SEQ_012157,2,0,0,0,4,0,4,4,0,4,0
SEQ_012159,0,2,2,4,0,4,1,1,1,0,1
SEQ_012165,3,3,3,3,2,3,2,2,3,2,3
SEQ_012168,3,3,3,3,2,3,3,2,3,2,3
SEQ_012170,3,3,3,3,2,3,3,2,3,2,3
SEQ_012178,4,0,4,4,4,0,4,4,4,4,4
SEQ_012179,0,3,2,2,2,3,2,2,3,2,3
SEQ_012181,4,0,4,4,4,0,4,4,4,4,4
SEQ_012188,4,0,0,4,4,4,4,3,4,0,1
SEQ_012201,3,0,0,4,0,4,0,0,0,0,1
SEQ_012205,0,1,0,0,0,1,0,0,0,0,0
SEQ_012229,2,3,2,2,2,3,2,2,2,3,2
SEQ_012240,0,3,2,0,1,0,0,4,2,1,2
SEQ_012251,1,3,3,2,3,2,2,3,3,2,4
SEQ_012278,1,4,4,1,2,1,2,3,3,2,3
SEQ_012284,0,1,1,4,0,0,4,4,0,1,2
SEQ_012289,0,2,2,1,2,1,1,1,2,1,3
SEQ_012296,3,0,0,4,4,4,4,4,0,3,4
SEQ_012311,0,0,0,0,4,0,0,0,0,4,0
SEQ_012314,3,3,3,3,2,3,3,2,3,2,3
SEQ_012315,1,4,2,1,1,1,1,2,2,2,3
SEQ_012319,2,0,0,0,4,0,4,4,0,4,0
SEQ_012326,3,3,3,3,0,3,3,3,3,4,3
SEQ_012335,3,1,3,3,4,3,3,3,0,4,0
SEQ_012349,0,0,0,0,4,0,0,0,0,4,0
SEQ_012350,3,0,0,4,4,4,4,4,0,3,4
SEQ_012395,3,1,1,0,0,1,0,0,1,0,1
SEQ_012398,1,4,3,2,3,4,3,3,4,3,4
SEQ_012401,4,2,0,4,4,4,4,4,4,0,1
SEQ_012420,1,3,3,2,3,2,3,3,3,3,4
SEQ_012424,3,0,0,4,0,4,4,0,0,4,1
SEQ_012429,1,3,3,1,1,3,2,2,2,1,2
SEQ_012433,4,1,1,0,1,0,0,0,1,0,2
SEQ_012453,4,0,0,4,4,4,4,3,4,0,1
SEQ_012454,4,2,4,1,1,2,1,1,2,1,2
SEQ_012463,4,0,0,3,2,4,3,3,4,3,0
SEQ_012469,4,4,4,4,3,4,3,3,4,3,4
SEQ_012474,3,0,0,4,0,4,0,0,0,0,1
SEQ_012486,3,1,1,0,0,1,0,0,1,0,1
SEQ_012495,3,1,3,3,4,3,3,3,0,4,0
SEQ_012496,0,3,1,0,0,0,0,0,1,1,2
SEQ_012499,2,2,2,2,1,2,1,1,2,1,2
SEQ_012500,2,4,3,2,2,2,2,1,3,3,4
SEQ_012509,0,2,2,4,0,4,1,1,1,0,1
SEQ_012512,2,3,4,1,2,2,1,1,2,3,4
SEQ_012525,1,1,1,1,0,1,0,0,1,0,1
SEQ_012535,0,2,2,0,0,1,1,1,1,0,1
SEQ_012540,4,2,2,2,1,2,1,1,2,1,2
SEQ_012550,0,3,2,2,2,3,2,2,3,2,3
SEQ_012552,2,4,4,3,3,3,3,3,4,2,0
SEQ_012561,4,4,4,4,3,4,4,4,4,3,4
SEQ_012569,4,4,4,4,3,4,3,3,4,3,4
SEQ_012577,2,2,2,2,1,2,2,1,2,1,2
SEQ_012585,1,2,2,0,1,1,0,0,1,2,3
SEQ_012593,0,3,2,2,2,3,2,2,3,2,3
SEQ_012599,0,0,0,0,4,0,0,0,0,4,0
SEQ_012606,0,2,2,4,0,4,1,1,1,0,1
SEQ_012608,4,2,1,4,0,4,4,1,1,0,1
SEQ_012614,1,2,1,1,1,2,1,1,1,2,1
SEQ_012617,2,3,3,2,2,2,2,1,2,3,4
SEQ_012619,3,3,3,3,2,3,3,2,3,2,3
SEQ_012633,3,1,0,3,4,3,4,0,0,4,0
SEQ_012639,3,0,0,4,0,4,4,0,0,4,1
SEQ_012643,0,3,2,2,2,3,2,2,3,2,3
SEQ_012656,3,3,3,3,2,3,2,2,3,2,3
SEQ_012663,3,0,0,4,0,1,0,0,0,0,1
SEQ_012679,1,2,1,1,1,2,1,1,1,2,1
SEQ_012689,3,4,3,2,3,3,2,2,3,4,4
SEQ_012705,2,0,4,3,4,0,4,4,2,4,0
SEQ_012707,1,3,3,2,3,2,2,3,3,2,4
SEQ_012709,1,2,2,0,1,1,0,0,1,2,3
SEQ_012719,1,2,1,1,1,2,1,1,1,2,1
SEQ_012720,2,3,3,2,2,2,2,1,2,3,4
SEQ_012723,3,4,3,3,3,4,3,3,3,4,3
SEQ_012725,1,3,3,2,3,2,3,3,3,3,4
SEQ_012730,4,2,4,1,1,2,1,1,2,1,2
SEQ_012735,3,3,3,3,2,3,2,2,3,2,3
SEQ_012740,3,4,4,4,3,4,3,3,4,3,4
SEQ_012742,0,0,0,0,4,0,0,0,0,4,0
SEQ_012748,2,0,4,2,3,2,2,2,4,3,4
SEQ_012769,4,1,1,0,1,0,0,1,1,1,2
SEQ_012773,2,0,0,0,4,0,4,4,0,4,0
SEQ_012775,3,3,3,3,0,3,3,3,3,4,3
SEQ_012776,1,1,1,1,0,1,0,0,1,0,1
SEQ_012789,3,4,3,2,3,3,2,2,3,4,4
SEQ_012799,2,4,4,2,2,2,3,3,3,2,3
SEQ_012814,2,3,3,2,2,2,2,1,2,3,4
SEQ_012827,2,3,4,1,2,2,1,1,2,3,4
SEQ_012831,3,0,0,4,0,4,4,0,0,4,1
SEQ_012835,1,2,1,1,1,2,1,1,1,2,1
SEQ_012846,0,0,0,0,4,0,4,4,0,4,0
SEQ_012847,0,1,1,4,0,0,4,4,0,1,2
SEQ_012848,4,2,1,4,0,4,4,1,1,0,1
SEQ_012873,3,4,3,2,3,3,2,2,3,4,4
SEQ_012880,1,4,3,2,3,4,3,3,4,3,4
SEQ_012882,2,3,2,2,2,3,2,2,2,3,2
SEQ_012919,1,1,1,1,0,1,1,3,1,0,1
SEQ_012923,4,2,2,2,1,2,1,1,2,1,2
SEQ_012929,2,2,2,2,1,2,1,1,2,1,2
SEQ_012937,2,4,4,2,2,2,3,3,3,2,3
SEQ_012944,1,4,4,4,3,4,3,3,4,3,4
SEQ_012951,0,0,0,0,4,0,0,0,0,4,0
SEQ_012965,3,4,4,4,3,3,2,2,3,4,0
SEQ_012969,1,3,3,2,3,2,3,3,3,3,4
SEQ_012982,1,4,3,1,2,1,1,4,3,2,3
SEQ_012997,1,1,1,1,1,1,1,1,1,1,1
SEQ_012999,3,4,4,4,3,4,3,3,4,3,4
SEQ_013007,2,2,2,2,1,2,1,1,2,1,2
SEQ_013009,4,4,4,4,3,4,4,4,4,3,4
SEQ_013032,0,3,1,0,0,0,0,0,1,1,2
SEQ_013041,0,3,2,0,1,0,0,4,2,1,2
SEQ_013042,0,1,1,4,0,0,4,4,0,1,2
SEQ_013045,2,0,4,2,3,2,2,2,4,3,4
SEQ_013070,0,3,3,3,2,3,2,2,3,2,3
SEQ_013078,4,1,1,0,1,2,1,1,1,1,2
SEQ_013084,4,0,0,3,4,4,3,3,4,0,1
SEQ_013090,0,2,2,1,2,1,1,2,2,2,3
SEQ_013094,3,1,1,0,0,1,0,0,1,0,1
SEQ_013098,2,2,2,2,2,2,2,2,2,2,2
SEQ_013102,2,2,2,2,1,2,2,1,2,1,2
SEQ_013104,0,1,0,0,0,1,0,0,0,0,0
SEQ_013106,1,1,1,1,1,1,1,1,1,1,1
SEQ_013107,1,3,3,1,1,3,2,2,2,1,2
SEQ_013117,3,4,4,4,3,3,2,2,3,4,0
SEQ_013138,4,4,4,4,3,4,3,3,4,3,4
SEQ_013139,4,0,0,4,4,4,4,3,4,0,1
SEQ_013147,1,3,1,1,1,0,1,1,1,1,1
SEQ_013150,3,0,0,3,3,4,4,4,4,3,4
SEQ_013205,1,3,3,1,1,3,2,2,2,1,2
SEQ_013207,4,0,0,3,4,4,3,3,4,0,1
SEQ_013211,4,1,1,0,1,0,0,0,1,0,2
SEQ_013217,0,2,2,4,0,4,1,1,1,0,1
SEQ_013222,1,1,1,1,0,1,0,0,1,0,1
SEQ_013250,2,2,2,2,2,2,2,2,2,2,2
SEQ_013268,4,0,0,3,4,4,3,3,4,0,1
SEQ_013274,1,1,1,1,0,1,1,3,1,0,1
SEQ_013277,2,4,4,3,4,4,4,4,4,4,0
SEQ_013282,3,0,0,4,0,4,0,0,0,0,1
SEQ_013286,2,4,3,2,2,2,2,1,3,3,4
SEQ_013287,4,1,1,0,1,0,0,0,1,0,2
SEQ_013322,4,1,1,0,1,0,0,0,1,0,2
SEQ_013324,4,1,1,0,1,0,0,1,1,1,2
SEQ_013325,4,1,1,0,1,2,1,1,1,1,2
SEQ_013365,0,2,2,0,0,1,1,1,1,0,1
SEQ_013366,3,4,4,4,3,4,3,3,4,3,4
SEQ_013372,1,4,2,1,1,1,1,2,2,2,3
SEQ_013380,4,2,4,1,1,2,1,1,2,1,2
SEQ_013381,3,3,3,3,2,3,3,2,3,2,3
SEQ_013396,4,1,1,4,4,0,0,0,0,4,2
SEQ_013398,0,2,2,4,0,4,1,1,1,0,1
SEQ_013411,0,0,0,0,4,0,4,4,0,4,0
SEQ_013414,3,0,0,4,0,4,4,0,0,4,1
SEQ_013416,2,2,2,2,1,2,1,1,2,1,2
SEQ_013419,3,0,0,4,0,1,0,0,0,0,1
SEQ_013423,3,4,4,4,3,3,2,2,3,4,0
SEQ_013452,0,1,1,4,0,0,4,4,0,1,2
SEQ_013455,3,4,3,2,3,3,2,2,3,4,4
SEQ_013466,1,1,1,1,0,1,1,3,1,0,1
SEQ_013469,2,0,0,0,4,0,4,4,0,4,0
SEQ_013473,3,4,4,4,3,3,2,2,3,4,0
SEQ_013474,0,2,2,1,2,1,1,1,2,1,3
SEQ_013483,0,1,1,1,0,1,0,0,1,0,1
SEQ_013488,2,4,4,3,4,3,3,4,4,3,0
SEQ_013505,3,1,0,3,4,3,4,0,0,4,0
SEQ_013516,0,2,2,4,0,4,1,1,1,0,1
SEQ_013517,1,1,1,1,1,1,1,1,1,1,1
SEQ_013521,3,0,0,4,0,4,0,0,0,0,1
SEQ_013549,1,4,3,2,3,4,3,3,4,3,4
SEQ_013558,0,3,2,2,2,3,2,2,3,2,3
SEQ_013573,1,3,3,1,1,3,2,2,2,1,2
SEQ_013585,3,4,3,2,3,3,2,2,3,4,4
SEQ_013597,3,4,3,3,3,4,3,3,3,4,3
SEQ_013599,2,3,4,1,2,2,1,1,2,3,4
SEQ_013601,2,3,3,2,2,2,2,1,2,3,4
SEQ_013608,3,3,3,3,0,3,3,3,3,4,3
SEQ_013609,4,0,0,3,4,4,3,3,4,0,1
SEQ_013659,3,4,4,4,3,4,3,3,4,3,4
SEQ_013660,2,3,3,2,2,2,2,1,2,3,4
SEQ_013679,2,0,4,3,4,0,4,4,2,4,0
SEQ_013692,2,0,0,0,4,0,4,4,0,4,0
SEQ_013702,1,1,1,1,0,1,0,0,1,0,1
SEQ_013706,3,4,4,3,3,3,3,2,4,4,0
SEQ_013711,4,1,1,0,1,0,0,1,1,1,2
SEQ_013713,0,2,2,1,2,3,2,2,2,2,3
SEQ_013717,4,1,1,0,1,0,0,1,1,1,2
SEQ_013721,3,1,0,3,4,3,4,0,0,4,0
SEQ_013737,1,4,3,2,3,4,3,3,4,3,4
SEQ_013747,2,4,3,2,2,2,2,1,3,3,4
SEQ_013750,0,2,2,1,2,1,1,1,2,1,3
SEQ_013783,0,3,2,0,1,0,0,4,2,1,2
SEQ_013793,0,2,2,1,2,1,1,2,2,2,3
SEQ_013797,3,4,3,3,3,4,3,3,3,4,3
SEQ_013802,1,1,1,1,0,1,0,0,1,0,1
SEQ_013804,4,0,0,3,2,4,3,3,4,3,0
SEQ_013818,4,1,1,4,4,0,0,0,0,4,2
SEQ_013820,0,3,3,3,2,3,2,2,3,2,3
SEQ_013825,2,4,4,3,4,3,3,4,4,3,0
SEQ_013854,2,0,4,2,3,2,2,2,4,3,4
SEQ_013860,1,3,3,2,3,2,2,3,3,2,4
SEQ_013863,2,0,4,3,4,0,4,4,2,4,0
SEQ_013865,1,2,1,1,1,2,1,1,1,2,1
SEQ_013868,4,0,4,4,4,0,4,4,4,4,4
SEQ_013893,3,4,4,4,3,3,2,2,3,4,0
SEQ_013894,0,0,0,0,4,0,0,0,0,4,0
SEQ_013902,0,1,0,0,0,1,0,0,0,0,0
SEQ_013909,3,1,1,0,0,1,0,0,1,0,1
SEQ_013930,4,4,4,4,3,4,4,4,4,3,4
SEQ_013937,0,3,2,0,1,0,0,4,2,1,2
SEQ_013940,0,3,2,2,2,3,2,2,3,2,3
SEQ_013947,3,3,3,3,0,3,3,3,3,4,3
SEQ_013959,2,3,3,2,2,2,2,1,2,3,4
SEQ_013961,3,0,0,4,4,4,4,4,0,3,4
SEQ_013964,3,3,3,3,2,3,3,2,3,2,3
SEQ_013965,3,1,3,3,4,3,3,3,0,4,0
SEQ_013966,4,2,4,1,1,2,1,1,2,1,2
SEQ_013977,2,3,3,0,1,0,4,2,2,1,2
SEQ_013984,3,1,1,0,0,1,0,0,1,0,1
SEQ_013997,1,1,1,1,0,1,0,0,1,0,1
SEQ_013998,4,0,4,4,4,0,4,4,4,4,4
SEQ_014019,1,4,4,4,3,4,3,3,4,3,4
SEQ_014026,0,1,1,1,0,1,0,0,1,0,1
SEQ_014028,1,1,1,1,1,1,1,1,1,1,1
SEQ_014040,0,0,0,0,4,0,0,0,0,4,0
SEQ_014043,1,3,3,2,3,2,3,3,3,3,4
SEQ_014052,0,0,0,0,4,0,4,4,0,4,0
SEQ_014056,2,4,4,3,4,4,4,4,4,4,0
SEQ_014069,1,1,1,1,1,1,1,1,1,1,1
SEQ_014073,4,1,1,0,1,2,1,1,1,1,2
SEQ_014074,3,4,4,4,3,3,2,2,3,4,0
SEQ_014081,2,3,3,2,2,2,2,1,2,3,4
SEQ_014083,1,4,4,4,3,4,3,3,4,3,4
SEQ_014089,2,4,4,2,2,2,3,3,3,2,3
SEQ_014090,1,4,2,1,1,1,1,2,2,2,3
SEQ_014104,2,0,4,2,3,2,2,2,4,3,4
SEQ_014115,0,2,2,1,2,1,1,1,2,1,3
SEQ_014119,2,3,3,2,2,2,2,1,2,3,4
SEQ_014122,2,3,3,0,1,0,4,2,2,1,2
SEQ_014129,2,2,2,2,2,2,2,2,2,2,2
SEQ_014159,4,2,2,2,1,2,1,1,2,1,2
SEQ_014167,3,0,0,4,4,4,4,4,0,3,4
SEQ_014194,0,1,1,1,0,1,0,0,1,0,1
SEQ_014197,3,0,0,4,4,4,4,4,0,3,4
SEQ_014201,3,3,3,3,2,3,2,2,3,2,3
SEQ_014203,2,3,2,2,2,3,2,2,2,3,2
SEQ_014205,2,2,2,2,1,2,1,1,2,1,2
SEQ_014219,2,2,2,2,1,2,2,1,2,1,2
SEQ_014220,2,0,0,0,4,0,4,4,0,4,0
SEQ_014224,0,2,2,1,2,1,1,2,2,2,3
SEQ_014240,2,2,2,2,1,2,2,1,2,1,2
SEQ_014256,3,1,0,3,4,3,4,0,0,4,0
SEQ_014264,4,1,1,0,1,0,0,1,1,1,2
SEQ_014284,2,0,4,3,4,0,4,4,2,4,0
SEQ_014292,4,0,0,3,4,4,3,3,4,0,1
SEQ_014309,3,0,0,3,3,4,4,4,4,3,4
SEQ_014339,4,2,2,2,1,2,1,1,2,1,2
SEQ_014343,0,3,1,0,0,0,0,0,1,1,2
SEQ_014347,2,4,4,3,3,3,3,3,4,2,0
SEQ_014358,1,2,2,1,1,1,1,0,1,2,3
SEQ_014363,0,2,2,1,2,3,2,2,2,2,3
SEQ_014375,4,1,1,0,1,0,0,0,1,0,2
SEQ_014382,4,0,0,0,4,0,4,4,0,4,0
SEQ_014386,0,2,2,1,2,1,1,2,2,2,3
SEQ_014400,0,2,2,1,2,1,1,2,2,2,3
SEQ_014406,1,4,3,1,2,1,1,4,3,2,3
SEQ_014419,3,4,3,2,3,3,2,2,3,4,4
SEQ_014439,0,3,2,2,2,3,2,2,3,2,3
SEQ_014451,1,2,2,0,1,1,0,0,1,2,3
SEQ_014453,4,0,4,4,4,0,4,4,4,4,4
SEQ_014456,1,1,1,1,0,1,1,3,1,0,1
SEQ_014457,2,4,4,3,4,4,4,4,4,4,0
SEQ_014471,0,3,1,0,0,0,0,0,1,1,2
SEQ_014479,1,4,4,1,2,1,2,3,3,2,3
SEQ_014483,4,2,0,0,0,1,0,0,0,1,0
SEQ_014495,3,0,0,4,0,4,0,0,0,0,1
SEQ_014523,0,1,1,0,0,0,0,4,0,1,2
SEQ_014528,2,4,4,3,4,3,3,4,4,3,0
SEQ_014561,2,4,4,3,3,3,3,3,4,2,0
SEQ_014568,2,0,0,0,4,0,4,4,0,4,0
SEQ_014574,1,4,3,1,2,1,1,4,3,2,3
SEQ_014576,4,1,1,0,1,0,0,0,1,0,2
SEQ_014602,3,0,0,4,0,4,4,0,0,4,1
SEQ_014613,0,2,2,0,0,1,1,1,1,0,1
SEQ_014631,3,4,3,2,3,3,2,2,3,4,4
SEQ_014632,2,0,2,2,3,2,3,4,4,3,4
SEQ_014646,3,4,4,3,3,3,3,2,4,4,0
SEQ_014650,0,1,0,0,0,1,0,0,0,0,0
SEQ_014661,1,2,1,1,1,2,1,1,1,2,1
SEQ_014662,1,4,4,1,2,1,2,3,3,2,3
SEQ_014664,0,3,2,2,2,3,2,2,3,2,3
SEQ_014665,1,1,1,1,0,1,0,0,1,0,1
SEQ_014670,0,2,2,4,0,4,1,1,1,0,1
SEQ_014680,2,4,3,2,2,2,2,1,3,3,4
SEQ_014699,3,3,3,3,0,3,3,3,3,4,3
SEQ_014700,1,1,1,1,1,1,1,1,1,1,1
SEQ_014701,4,1,1,0,1,2,1,1,1,1,2
SEQ_014702,3,4,3,2,3,3,2,2,3,4,4
SEQ_014730,1,3,1,1,1,0,1,1,1,1,1
SEQ_014744,2,0,4,3,4,0,4,4,2,4,0
SEQ_014755,4,0,0,4,4,4,4,3,4,0,1
SEQ_014764,0,1,4,4,4,0,4,4,3,0,3
SEQ_014776,1,4,3,2,3,4,3,3,4,3,4
SEQ_014777,3,1,0,3,4,3,4,0,0,4,0
SEQ_014778,0,2,2,1,2,1,1,2,2,2,3
SEQ_014783,3,1,1,0,0,1,0,0,1,0,1
SEQ_014785,2,4,4,3,4,3,3,4,4,3,0
SEQ_014801,4,0,0,0,4,0,4,4,0,4,0
SEQ_014803,0,3,3,3,2,3,2,2,3,2,3
SEQ_014815,3,1,3,3,4,3,3,3,0,4,0
SEQ_014821,3,0,0,4,0,4,0,0,0,0,1
SEQ_014829,4,4,4,4,3,4,3,3,4,3,4
SEQ_014836,1,1,1,1,1,1,1,1,1,1,1
SEQ_014858,1,1,1,1,0,1,1,3,1,0,1
SEQ_014860,3,4,4,3,3,3,3,2,4,4,0
SEQ_014869,1,2,2,0,1,1,0,0,1,2,3
SEQ_014873,1,3,3,1,1,3,2,2,2,1,2
SEQ_014897,2,2,2,2,1,2,1,1,2,1,2
SEQ_014927,0,1,1,1,0,1,0,0,1,0,1
SEQ_014929,4,2,0,4,4,4,4,4,4,0,1
SEQ_014934,1,3,3,1,1,3,2,2,2,1,2
SEQ_014935,0,2,2,1,2,3,2,2,2,2,3
SEQ_014943,3,0,0,4,0,4,4,0,0,4,1
SEQ_014946,2,4,4,2,2,2,3,3,3,2,3
SEQ_014950,1,3,3,2,3,2,2,3,3,2,4
SEQ_014951,2,3,3,0,1,0,4,2,2,1,2
SEQ_014963,1,4,3,2,3,4,3,3,4,3,4
SEQ_014970,2,4,4,3,3,3,3,3,4,2,0
SEQ_014974,3,1,0,3,4,3,4,0,0,4,0
SEQ_014975,4,2,0,4,4,4,4,4,4,0,1
SEQ_014980,4,0,4,4,4,0,4,4,4,4,4
SEQ_014985,3,0,0,4,0,1,0,0,0,0,1
SEQ_014987,0,3,2,0,1,0,0,4,2,1,2
SEQ_015004,0,2,2,1,2,1,1,2,2,2,3
SEQ_015010,2,4,4,3,4,3,3,4,4,3,0
SEQ_015012,4,1,1,4,4,0,0,0,0,4,2
SEQ_015022,2,2,2,2,1,2,2,1,2,1,2
SEQ_015025,3,0,0,4,0,1,0,0,0,0,1
SEQ_015041,4,0,0,3,2,4,3,3,4,3,0
SEQ_015053,2,2,2,2,2,2,2,2,2,2,2
SEQ_015054,0,2,2,1,2,1,1,1,2,1,3
SEQ_015059,4,2,1,4,0,4,4,1,1,0,1
SEQ_015062,3,1,1,0,0,1,0,0,1,0,1
SEQ_015074,3,0,0,4,4,4,4,4,0,3,4
SEQ_015078,0,2,2,1,2,1,1,2,2,2,3
SEQ_015079,1,2,2,0,1,1,0,0,1,2,3
SEQ_015082,4,1,1,0,1,0,0,1,1,1,2
SEQ_015085,2,0,4,2,3,2,2,2,4,3,4
SEQ_015091,0,0,0,0,4,0,4,4,0,4,0
SEQ_015093,3,3,3,3,2,3,3,2,3,2,3
SEQ_015103,1,4,2,1,1,1,1,2,2,2,3
SEQ_015105,2,2,2,2,2,2,2,2,2,2,2
SEQ_015106,2,3,3,2,2,2,2,1,2,3,4
SEQ_015111,2,0,2,2,3,2,3,4,4,3,4
SEQ_015128,4,2,0,4,4,4,4,4,4,0,1
SEQ_015130,0,2,2,1,2,3,2,2,2,2,3
SEQ_015132,0,2,2,1,2,3,2,2,2,2,3
SEQ_015136,3,1,0,3,4,3,4,0,0,4,0
SEQ_015138,2,0,4,2,3,2,2,2,4,3,4
SEQ_015143,0,1,1,4,0,0,4,4,0,1,2
SEQ_015145,4,0,0,4,4,4,4,3,4,0,1
SEQ_015147,3,0,0,4,0,1,0,0,0,0,1
SEQ_015150,2,2,2,2,2,2,2,2,2,2,2
SEQ_015163,1,4,2,1,1,1,1,2,2,2,3
SEQ_015188,3,0,0,4,0,1,0,0,0,0,1
SEQ_015199,4,0,0,4,4,4,4,3,4,0,1
SEQ_015201,3,0,0,4,0,4,0,0,0,0,1
SEQ_015203,1,4,4,4,3,4,3,3,4,3,4
SEQ_015220,2,4,4,2,2,2,3,3,3,2,3
SEQ_015222,3,4,3,3,3,4,3,3,3,4,3
SEQ_015230,1,2,2,0,1,1,0,0,1,2,3
SEQ_015243,0,2,2,4,0,4,1,1,1,0,1
SEQ_015261,1,4,4,1,2,1,2,3,3,2,3
SEQ_015274,1,2,1,1,1,2,1,1,1,2,1
SEQ_015283,0,1,1,0,0,0,0,4,0,1,2
SEQ_015295,3,3,3,3,0,3,3,3,3,4,3
SEQ_015307,2,3,3,2,2,2,2,1,2,3,4
SEQ_015311,0,2,2,0,0,1,1,1,1,0,1
SEQ_015315,0,3,2,2,2,3,2,2,3,2,3
SEQ_015316,3,4,4,4,3,4,3,3,4,3,4
SEQ_015319,4,1,1,0,1,2,1,1,1,1,2
SEQ_015341,4,1,1,4,4,0,0,0,0,4,2
SEQ_015342,3,4,3,2,3,3,2,2,3,4,4
SEQ_015348,1,4,3,1,2,1,1,4,3,2,3
SEQ_015352,4,0,0,3,2,4,3,3,4,3,0
SEQ_015363,4,2,0,4,4,4,4,4,4,0,1
SEQ_015378,1,3,3,2,3,2,3,3,3,3,4
SEQ_015384,2,4,4,3,4,3,3,4,4,3,0
SEQ_015397,0,3,2,2,2,3,2,2,3,2,3
SEQ_015399,3,0,0,4,0,4,4,0,0,4,1
SEQ_015402,2,0,4,2,3,2,2,2,4,3,4
SEQ_015406,4,2,1,4,0,4,4,1,1,0,1
SEQ_015419,4,0,0,3,2,4,3,3,4,3,0
SEQ_015422,0,3,2,2,2,3,2,2,3,2,3
SEQ_015434,2,4,4,3,4,3,3,4,4,3,0
SEQ_015435,4,1,1,0,1,0,0,1,1,1,2
SEQ_015438,2,2,2,2,1,2,1,1,2,1,2
SEQ_015450,1,1,1,1,0,1,0,0,1,0,1
SEQ_015461,1,4,2,1,1,1,1,2,2,2,3
SEQ_015468,3,3,3,3,0,3,3,3,3,4,3
SEQ_015485,3,4,4,3,3,3,3,2,4,4,0
SEQ_015492,4,2,4,1,1,2,1,1,2,1,2
SEQ_015496,0,2,2,1,2,1,1,2,2,2,3
SEQ_015497,1,4,4,4,3,4,3,3,4,3,4
SEQ_015500,1,1,1,1,0,1,1,3,1,0,1
SEQ_015518,2,2,2,2,2,2,2,2,2,2,2
SEQ_015529,1,2,1,1,1,2,1,1,1,2,1
SEQ_015532,3,1,0,3,4,3,4,0,0,4,0
SEQ_015537,3,0,0,4,0,4,4,0,0,4,1
SEQ_015545,1,4,2,1,1,1,1,2,2,2,3
SEQ_015557,2,0,2,2,3,2,3,4,4,3,4
SEQ_015583,1,1,1,1,0,1,1,3,1,0,1
SEQ_015584,0,2,2,0,0,1,1,1,1,0,1
